,Real,Predicted
2019-02-20,3924.23999,4924.263
2019-02-21,3974.050049,4942.3364
2019-02-22,3937.040039,4958.1147
2019-02-23,3983.530029,4977.026
2019-02-24,4149.089844,4987.602
2019-02-25,3771.620117,4996.762
2019-02-26,3845.51001,5004.293
2019-02-27,3817.879883,5011.009
2019-02-28,3830.719971,5014.0615
2019-03-01,3823.370117,5014.173
2019-03-02,3831.47998,5009.521
2019-03-03,3842.939941,5001.063
2019-03-04,3812.310059,4990.1777
2019-03-05,3731.280029,4974.773
2019-03-06,3874.179932,4951.058
2019-03-07,3874.97998,4913.231
2019-03-08,3882.610107,4859.319
2019-03-09,3868.02002,4855.6587
2019-03-10,3947.73999,4878.0347
2019-03-11,3929.840088,4906.9673
2019-03-12,3874.889893,4934.534
2019-03-13,3888.570068,4955.797
2019-03-14,3878.439941,4973.734
2019-03-15,3881.439941,4985.9624
2019-03-16,3927.080078,4996.178
2019-03-17,4027.01001,5002.473
2019-03-18,3998.0,5005.261
2019-03-19,3988.850098,5004.8354
2019-03-20,4024.139893,5005.342
2019-03-21,4056.75,5005.6187
2019-03-22,3996.929932,5005.952
2019-03-23,4000.840088,5005.711
2019-03-24,4007.209961,5006.7617
2019-03-25,3994.110107,5007.9536
2019-03-26,3924.550049,5008.031
2019-03-27,3942.219971,5006.0977
2019-03-28,4045.97998,5003.073
2019-03-29,4036.449951,4997.007
2019-03-30,4111.379883,4989.9106
2019-03-31,4118.129883,4982.641
2019-04-01,4112.689941,4977.2695
2019-04-02,4151.319824,4971.831
2019-04-03,4906.930176,4974.3403
2019-04-04,4976.589844,4983.103
2019-04-05,4913.359863,4993.164
2019-04-06,5047.22998,5001.858
2019-04-07,5057.25,5008.0146
2019-04-08,5201.160156,5011.0815
2019-04-09,5294.089844,5012.608
2019-04-10,5201.299805,5014.252
2019-04-11,5318.600098,5015.129
2019-04-12,5048.560059,5015.8467
2019-04-13,5081.5,5015.723
2019-04-14,5080.660156,5017.9224
2019-04-15,5165.589844,5015.6387
2019-04-16,5037.27002,5015.747
2019-04-17,5212.810059,5014.08
2019-04-18,5236.259766,5013.346
2019-04-19,5289.75,5010.233
2019-04-20,5295.529785,5008.3257
2019-04-21,5326.180176,5007.763
2019-04-22,5305.740234,5007.9526
2019-04-23,5394.669922,5008.579
2019-04-24,5539.100098,5011.4316
2019-04-25,5454.580078,5011.5195
2019-04-26,5162.669922,5013.146
2019-04-27,5234.089844,5014.587
2019-04-28,5229.47998,5016.9243
2019-04-29,5272.450195,5016.078
2019-04-30,5237.959961,5013.4253
2019-05-01,5350.640137,5008.4653
2019-05-02,5389.540039,5000.5825
2019-05-03,5500.720215,4989.491
2019-05-04,5753.379883,4977.6934
2019-05-05,5840.080078,4963.529
2019-05-06,5794.140137,4959.8223
2019-05-07,5748.169922,4969.695
2019-05-08,5819.569824,4988.0903
2019-05-09,5998.709961,4999.2334
2019-05-10,6171.959961,5007.4067
2019-05-11,6358.290039,5011.352
2019-05-12,7191.359863,5013.6045
2019-05-13,6977.629883,5014.319
2019-05-14,7806.359862999999,5015.148
2019-05-15,7980.129883,5015.307
2019-05-16,8183.830077999999,5015.741
2019-05-17,7874.109863,5016.3755
2019-05-18,7371.959961,5016.967
2019-05-19,7266.080078,5018.334
2019-05-20,8193.139648,5018.4614
2019-05-21,7998.2900389999995,5018.121
2019-05-22,7947.930176,5017.594
2019-05-23,7626.890136999999,5017.856
2019-05-24,7876.499999999999,5017.6416
2019-05-25,7996.399902,5017.827
2019-05-26,8059.129882999999,5017.7744
2019-05-27,8726.230469,5017.081
2019-05-28,8785.169922,5017.064
2019-05-29,8718.849609,5016.7285
2019-05-30,8664.55957,5016.482
2019-05-31,8276.25,5016.368
2019-06-01,8550.669922,5016.166
2019-06-02,8555.870117,5017.5156
2019-06-03,8737.910156,5017.804
2019-06-04,8114.490233999999,5017.768
2019-06-05,7677.470214999999,5017.309
2019-06-06,7791.2900389999995,5019.349
2019-06-07,7807.359862999999,5020.112
2019-06-08,8002.629882999999,5016.191
2019-06-09,7933.779785,5007.5967
2019-06-10,7643.439941,4991.3823
2019-06-11,8021.0,4974.88
2019-06-12,7917.319824,4964.415
2019-06-13,8174.140136999999,4955.9126
2019-06-14,8235.570313,4954.9897
2019-06-15,8693.959961,4962.752
2019-06-16,8853.55957,4985.016
2019-06-17,8979.179688,5000.993
2019-06-18,9336.009766,5008.254
